Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
Delphi Automotive PLC (NYSE:DLPH),NYSE:DLPH,Auto Parts,United Kingdom,Developed Europe,UK,1.1136,1.2587,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$18,503.10 ",$347.98 ,"$2,418.00 ","$2,765.98 ","$21,269.08 ","$1,053.00 ","$20,216.08 ",4.95%,0.01,46.18%,13.00%,85.82%,14.95%,$60.13 ,1.91,47.01%,57.43%,0.24,12.03,17.18,17.62,12.71,1.21,5.74,1.19,11.64,9.41,4.54,1.3,15.14%,0.86%,-56.20%,NA,5.72%,NA,14.20%,6.06%,43.64%,54.12%,6.54%,10.83%,12.83%,102.49%,"$1,077.00 ","$1,050.00 ","$1,708.00 ","$1,737.40 ","$15,519.00 ","$16,048.00 ","$2,148.00 ","$2,255.00 ","$1,514.56 ",($286.00),$20.00 ,"$1,523.00 ",101.88%,($28.44),($207.00),($493.00),"$2,406.00 ","$3,209.98 ","$3,223.00 ","$4,450.98 ",($159.00),1.08,0.7,0.5,NA,NA,NA,NA,($615.00),0.60%,30%
Valeo SA (ENXTPA:FR),ENXTPA:FR,Auto Parts,France,Developed Europe,EU & Environs,1.1136,1.368,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$8,527.80 ",$137.15 ,"$2,486.80 ","$2,623.95 ","$11,151.75 ","$1,890.20 ","$9,261.55 ",16.95%,0,47.05%,23.53%,88.84%,30.77%,$110.76 ,2.87,65.57%,56.42%,0.37,6,17.02,17.4,13.76,1.16,2.89,0.55,10.04,6.71,4.6,0.6,28.12%,1.62%,18.30%,27.90%,10.60%,4.59%,14.70%,4.16%,19.77%,58.97%,3.16%,5.95%,25.74%,51.98%,$501.00 ,$490.10 ,$873.60 ,$922.67 ,"$15,504.00 ","$15,503.40 ","$1,380.40 ","$1,385.80 ",$685.17 ,$416.00 ,$5.20 ,"$1,128.40 ",165.45%,($448.43),"($1,059.50)",($643.50),"$2,479.60 ","$1,564.65 ","$2,953.50 ","$2,015.45 ",($137.80),1.48,1.34,0.5,0.05,0.09,$522.02 ,$208.85 ,($137.80),0.60%,21%
Thomas Cook Group plc (LSE:TCG),LSE:TCG,Hotel/Gaming,United Kingdom,Developed Europe,UK,0.7409,1.4347,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,#REF!,NA,"$3,993.50 ","$1,287.67 ","$2,452.50 ","$3,740.17 ","$7,733.67 ","$1,762.80 ","$5,970.87 ",22.79%,0.01,80.82%,48.36%,421.48%,93.66%,$2.77 ,3.13,26.83%,150.00%,0.61,1.81,NA,NA,14.97,NA,4.5,0.26,11.07,8.6,NA,0.4,NA,0.00%,NA,NA,1.57%,0.93%,37.00%,3.07%,-49.16%,NA,-2.14%,3.58%,0.00%,88.18%,($322.20),($322.20),$446.70 ,$539.57 ,"$15,080.50 ","$15,080.50 ",$694.60 ,$694.60 ,$539.57 ,($410.60),($312.93),$35.79 ,-51.36%,$816.71 ,$365.54 ,($45.06),$655.40 ,"($1,074.83)",$887.40 ,"($1,491.93)",$0.00 ,1.64,1.41,0.5,NA,NA,NA,NA,($26.10),0.60%,30%
Compagnie Financiere Richemont SA (SWX:CFR),SWX:CFR,Apparel,Switzerland,Developed Europe,EU & Environs,0.8237,0.8833,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$57,508.10 ","$2,140.70 ","$2,851.70 ","$4,992.40 ","$62,500.50 ","$4,490.80 ","$58,009.70 ",7.19%,0,25.13%,7.99%,33.56%,8.68%,$100.15 ,1.9,49.50%,49.24%,0.17,53.8,22.3,20.06,17.6,1.91,3.87,4.42,15.48,16.2,3.97,4.46,17.94%,0.89%,33.00%,5.72%,19.60%,13.40%,11.70%,8.13%,23.94%,30.31%,20.43%,26.70%,16.69%,12.77%,"$2,579.30 ","$2,866.60 ","$3,276.70 ","$3,746.76 ","$13,005.30 ","$14,032.60 ","$3,581.30 ","$3,793.70 ","$3,121.57 ",($289.70),$369.51 ,"$2,134.40 ",80.21%,$617.66 ,$652.39 ,$362.69 ,"$11,975.90 ","$12,362.30 ","$14,874.50 ","$14,619.50 ",($514.30),0.98,0.9,0.5,0.07,0.05,"$1,428.70 ","$1,518.48 ",($623.90),0.00%,21%
Dixons Retail plc (LSE:DXNS),LSE:DXNS,Retail (Special Lines),United Kingdom,Developed Europe,UK,0.799,1.8284,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$2,936.30 ","$3,236.73 ",$546.80 ,"$3,783.53 ","$6,719.83 ",$612.00 ,"$6,107.83 ",9.11%,0,99.57%,56.30%,23070.33%,128.85%,$0.80 ,2.96,37.82%,101.15%,0.35,7.93,NA,NA,16.08,NA,179.04,0.22,11.82,8.34,2.83,0.47,NA,0.00%,NA,NA,0.30%,0.21%,30.50%,-3.49%,-50.66%,20.03%,-1.67%,3.73%,0.00%,90.00%,($246.20),($231.50),$588.10 ,$516.85 ,"$13,132.00 ","$13,846.80 ",$732.10 ,$786.50 ,$516.85 ,$230.76 ,($52.65),$119.80 ,12.99%,$449.70 ,($529.41),($298.65),$457.00 ,"$2,579.93 ",$16.40 ,"$2,161.53 ",$0.00 ,1.53,1.38,0.5,0.1,0.24,$365.20 ,($25.16),($0.48),0.60%,30%
Liberty Global plc (NasdaqGS:LBTY.A),NasdaqGS:LBTY.A,Cable TV,United Kingdom,Developed Europe,UK,0.7188,1.7117,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$34,349.40 ",$839.43 ,"$46,609.00 ","$47,448.43 ","$81,797.83 ","$2,206.50 ","$79,591.33 ",2.70%,0.01,80.63%,58.01%,416.33%,138.13%,$89.00 ,2.11,54.04%,45.06%,0.18,1.01,106.41,NA,52.98,3.52,3.01,3.33,37.18,16.73,2.41,7.72,NA,0.00%,NA,NA,14.60%,4.61%,30.20%,33.90%,-41.16%,13.62%,-9.01%,16.43%,0.00%,81.51%,$322.80 ,"($1,174.00)","$2,104.10 ","$2,140.71 ","$10,310.80 ","$13,031.00 ","$4,757.20 ","$5,733.40 ","$2,140.71 ","($1,490.20)",$389.10 ,"$4,097.20 ",209.57%,"($2,345.59)","($4,170.10)","($5,660.30)","$2,852.40 ","$15,716.43 ","$11,396.70 ","$33,073.03 ",$0.00 ,0.97,1.22,0.5,0.08,0.13,$879.98 ,($105.98),"($1,671.50)",0.60%,30%
Kering SA (ENXTPA:KER),ENXTPA:KER,Apparel,France,Developed Europe,EU & Environs,0.8237,1.0361,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$26,540.50 ","$2,805.48 ","$5,363.30 ","$8,168.78 ","$34,709.28 ","$1,214.60 ","$33,494.68 ",3.50%,0,35.22%,23.53%,54.38%,30.78%,$211.60 ,1.61,47.43%,42.32%,0.13,9.09,19.2,27.45,14.2,1.73,1.77,2.07,11.03,12.27,1.98,2.61,63.37%,2.31%,-13.50%,-11.60%,-7.68%,-13.40%,11.10%,4.20%,6.93%,18.11%,7.59%,23.83%,16.21%,25.23%,"$1,382.00 ",$966.90 ,"$2,349.30 ","$3,035.60 ","$12,837.10 ","$12,741.00 ","$2,730.60 ","$2,717.70 ","$2,543.52 ","$2,011.70 ",$289.10 ,$7.80 ,11.67%,"$2,246.62 ","($1,341.70)",$670.00 ,"$13,957.40 ","$16,759.88 ","$15,022.90 ","$16,911.48 ",($612.70),0.8,0.8,0.5,0.02,0.02,"$1,788.54 ","$1,150.88 ",($853.10),0.60%,21%
British Sky Broadcasting Group plc (LSE:BSY),LSE:BSY,Cable TV,United Kingdom,Developed Europe,UK,0.7188,0.8488,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$21,802.20 ",$295.19 ,"$4,727.60 ","$5,022.79 ","$26,824.99 ",$0.00 ,"$26,824.99 ",0.00%,0,75.40%,18.72%,306.55%,23.04%,$13.98 ,0.53,18.17%,35.09%,0.11,9.62,14.65,14.13,14.14,1.19,13.31,1.98,12.73,11.26,4.03,2.44,49.12%,3.48%,-0.86%,NA,7.63%,7.98%,12.30%,4.84%,101.37%,36.99%,12.94%,17.68%,21.50%,54.93%,"$1,488.00 ","$1,542.90 ","$2,088.60 ","$2,107.06 ","$10,996.30 ","$11,921.00 ","$2,383.20 ","$2,473.90 ","$1,654.03 ",$0.00 ,$0.00 ,$0.00 ,0.00%,"$1,654.03 ","$1,542.90 ","$1,542.90 ","$1,522.00 ","$5,696.29 ","$1,638.50 ","$6,661.29 ",($757.82),0.26,0.29,0.5,0.03,0.06,"$1,453.38 ",$897.57 ,($757.82),0.60%,30%
GKN plc (LSE:GKN),LSE:GKN,Auto Parts,United Kingdom,Developed Europe,UK,1.1136,1.3091,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$10,122.40 ",$322.60 ,"$1,764.60 ","$2,087.20 ","$12,209.60 ",$354.10 ,"$11,855.50 ",2.90%,0,42.80%,17.09%,74.84%,20.62%,$6.18 ,2.52,62.45%,50.84%,0.25,7.3,12.97,18.55,12.69,1.35,3.63,0.96,14.96,9.67,3.26,1.12,32.59%,1.76%,45.70%,13.20%,13.80%,10.50%,9.61%,8.62%,28.21%,33.56%,5.20%,7.56%,14.83%,85.96%,$780.20 ,$545.60 ,$787.30 ,$792.68 ,"$10,581.10 ","$10,491.70 ","$1,225.50 ","$1,217.40 ",$675.11 ,($560.90),$142.90 ,$870.80 ,150.15%,($338.59),$92.80 ,($468.10),"$1,934.00 ","$2,361.70 ","$2,789.00 ","$3,634.50 ",($177.80),1.27,1.24,0.5,0.04,0.11,$450.02 ,$395.81 ,($188.40),0.60%,30%
Luxottica Group SpA (BIT:LUX),BIT:LUX,Apparel,Italy,Developed Europe,EU & Environs,0.8237,0.9091,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$25,468.90 ","$1,325.67 ","$2,856.30 ","$4,181.97 ","$29,650.87 ",$727.80 ,"$28,923.07 ",2.45%,0,42.23%,14.10%,73.10%,16.42%,$53.80 ,1.1,36.06%,33.07%,0.16,9.86,35.66,31.31,26.37,2.6,4.45,2.73,15.48,16.11,5.82,3.1,45.53%,1.45%,16.90%,6.66%,9.18%,7.21%,13.70%,5.47%,16.10%,39.74%,8.23%,18.92%,36.86%,12.36%,$714.20 ,$813.50 ,"$1,453.00 ","$1,868.97 ","$9,342.90 ","$9,878.90 ","$1,795.80 ","$1,952.10 ","$1,180.11 ","$1,059.96 ",($2.70),$689.40 ,58.19%,$493.41 ,($933.16),$126.80 ,"$5,054.10 ","$4,703.27 ","$5,720.80 ","$4,968.97 ",($370.40),0.48,0.7,0.5,0.03,0.03,$932.65 ,$522.72 ,($370.40),2.85%,21%
Lagardere SCA (ENXTPA:MMB),ENXTPA:MMB,Publshing & Newspapers,France,Developed Europe,EU & Environs,0.7712,1.2872,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,763.30 ","$1,329.95 ","$1,985.10 ","$3,315.05 ","$8,078.35 ",$761.80 ,"$7,316.55 ",9.43%,0,44.90%,41.04%,81.47%,69.60%,$37.21 ,2.05,45.72%,57.97%,0.22,2.5,40.61,2.39,16.04,4.14,1.17,0.47,14.5,10.59,1.63,0.72,10.87%,4.56%,NA,20.40%,-2.22%,-3.31%,9.81%,0.89%,57.61%,10.75%,19.89%,5.02%,3.85%,29.35%,$117.30 ,"$1,996.80 ",$338.00 ,$504.51 ,"$10,181.30 ","$10,040.90 ",$690.90 ,$638.30 ,$485.09 ,"$1,011.40 ",$0.00 ,"($2,602.50)",-536.50%,"$3,087.59 ","$3,587.90 ","$4,599.30 ","$3,465.80 ","$4,694.45 ","$4,068.90 ","$4,485.05 ",($217.10),1.06,0.95,0.5,0.04,0.1,$714.95 ,$349.08 ,($218.40),0.60%,21%
Inchcape plc (LSE:INCH),LSE:INCH,Retail (Distributors),United Kingdom,Developed Europe,UK,0.5693,0.6637,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,676.80 ",$385.32 ,$639.10 ,"$1,024.42 ","$5,701.22 ",$743.10 ,"$4,958.12 ",13.03%,0,29.13%,17.97%,41.10%,21.90%,$10.18 ,2.25,64.58%,52.26%,0.2,11.19,15.59,16.36,13.93,1.49,1.88,0.47,11.89,10.39,1.79,0.5,35.82%,2.19%,8.86%,1.00%,2.19%,0.23%,10.50%,5.04%,13.55%,17.87%,2.99%,4.36%,24.33%,93.97%,$299.90 ,$285.90 ,$416.30 ,$416.94 ,"$9,890.90 ","$9,559.40 ",$477.40 ,$467.20 ,$315.50 ,$2.28 ,($16.13),$328.50 ,99.01%,$3.13 ,($28.75),($26.47),"$2,110.00 ","$2,333.02 ","$2,492.30 ","$2,773.62 ",($102.40),1.35,0.67,0.5,0.02,0.04,$355.65 ,$230.29 ,($105.90),0.60%,30%
Publicis Groupe SA (ENXTPA:PUB),ENXTPA:PUB,Advertising,France,Developed Europe,EU & Environs,0.8911,1.0062,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$19,529.80 ","$1,654.31 ","$1,809.60 ","$3,463.91 ","$22,993.71 ",$975.00 ,"$22,018.71 ",4.24%,0,36.68%,15.06%,57.93%,17.74%,$91.59 ,1.35,54.31%,33.28%,0.19,23.05,20.1,19.31,17.75,2.01,3.27,2.24,13.32,13.15,39.06,2.53,15.30%,0.79%,20.10%,11.80%,12.30%,8.15%,10.00%,6.27%,22.40%,379.97%,11.31%,18.48%,27.19%,45.64%,$971.70 ,"$1,011.40 ","$1,498.20 ","$1,652.54 ","$8,715.10 ","$8,939.90 ","$1,674.50 ","$1,732.20 ","$1,203.20 ",($71.50),($16.90),$943.80 ,77.04%,$276.30 ,$156.00 ,$84.50 ,"$4,514.20 ",$434.91 ,"$5,979.90 ",$563.71 ,($154.70),0.72,0.58,0.5,0.03,0.04,$975.58 ,$592.60 ,($335.40),0.60%,21%
Autogrill S.p.A. (BIT:AGL),BIT:AGL,Restaurant,Italy,Developed Europe,EU & Environs,0.642,0.8856,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$2,149.10 ",$0.00 ,"$1,205.50 ","$1,205.50 ","$3,354.60 ",$259.60 ,"$3,095.00 ",7.74%,0.01,49.77%,35.94%,99.07%,56.09%,$8.48 ,1.91,30.98%,82.30%,0.41,3.87,16.84,14.74,53,1.09,1.77,0.24,1.57,3.95,2.73,0.35,0.00%,0.00%,15.00%,-3.68%,2.69%,3.15%,15.40%,-18.80%,13.39%,65.27%,1.63%,21.94%,32.38%,17.50%,$127.60 ,$145.80 ,$368.80 ,"$1,968.40 ","$8,820.00 ","$8,972.20 ",$784.10 ,$801.80 ,"$1,331.13 ",$324.90 ,$0.00 ,$50.40 ,3.79%,"$1,280.73 ",($229.50),$95.40 ,"$1,089.20 ","$3,016.00 ","$1,216.80 ","$1,135.60 ",$0.00 ,1.02,0.83,0.5,0.02,0.04,$381.09 ,$137.58 ,$0.00 ,2.85%,21%
Swatch Group AG (SWX:UHR),SWX:UHR,Apparel,Switzerland,Developed Europe,EU & Environs,0.8237,0.8481,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$33,572.40 ","$1,137.54 ",$96.20 ,"$1,233.74 ","$34,806.14 ",$763.90 ,"$34,042.24 ",2.19%,0,12.01%,3.54%,13.65%,3.67%,$664.87 ,1.9,54.95%,44.26%,0.14,997.01,19.21,19.29,17.87,1.81,3.71,3.94,15.38,13.94,3.58,4,22.22%,1.15%,21.30%,11.20%,12.80%,6.71%,10.60%,10.10%,19.42%,24.55%,20.28%,25.80%,19.22%,25.08%,"$1,747.60 ","$1,740.20 ","$2,103.70 ","$2,213.69 ","$8,515.20 ","$8,581.80 ","$2,442.30 ","$2,420.70 ","$1,788.33 ",$323.30 ,"$1,018.50 ","$1,057.60 ",116.09%,($287.77),($659.20),($335.90),"$8,961.50 ","$9,015.34 ","$9,041.40 ","$9,511.24 ",($386.70),0.97,0.91,0.5,0.05,0.05,"$1,089.91 ",$864.96 ,($388.81),0.00%,21%
Home Retail Group plc (LSE:HOME),LSE:HOME,Retail (Special Lines),United Kingdom,Developed Europe,UK,0.799,1.5982,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$2,511.50 ","$3,339.75 ",$0.00 ,"$3,339.75 ","$5,851.25 ",$637.60 ,"$5,213.65 ",10.90%,0,44.55%,57.08%,80.33%,132.98%,$3.18 ,2.38,37.95%,88.28%,0.27,NA,17.79,22.13,20.92,1.46,0.6,0.31,98.65,14.73,1.17,0.63,32.69%,1.48%,-29.20%,NA,-2.28%,-1.53%,12.20%,1.37%,2.73%,1.16%,1.32%,0.62%,24.77%,93.38%,$141.20 ,$113.50 ,$189.30 ,$52.85 ,"$8,223.20 ","$8,570.70 ",$354.00 ,$387.70 ,$39.76 ,$0.00 ,($98.00),$185.00 ,218.81%,($47.24),$26.50 ,$26.50 ,"$4,156.10 ","$4,541.85 ","$4,157.30 ","$4,471.15 ",($37.10),1.34,0.88,0.5,NA,NA,NA,NA,($58.90),0.60%,30%
"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Auto Parts,Sweden,Developed Europe,EU & Environs,1.1136,1.1832,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,"$8,803.00 ",$97.58 ,$640.10 ,$737.68 ,"$9,540.68 ","$1,134.70 ","$8,405.98 ",11.89%,0.01,15.46%,7.73%,18.29%,8.38%,$91.80 ,3.42,69.79%,57.68%,0.19,24.37,18.22,16.77,15.02,2.81,2.18,1.06,10.13,7.98,4.15,1.02,36.43%,2.17%,3.42%,12.10%,7.02%,3.78%,6.49%,5.81%,14.24%,43.01%,6.17%,9.76%,25.37%,79.85%,$483.10 ,$524.80 ,$813.80 ,$829.78 ,"$8,266.70 ","$8,503.40 ","$1,053.40 ","$1,093.60 ",$619.24 ,$14.90 ,$69.50 ,$355.40 ,68.62%,$194.34 ,$85.00 ,$99.90 ,"$3,685.50 ","$1,929.28 ","$4,032.30 ","$2,026.78 ",($191.20),1.61,1.91,0.5,0.04,0.05,$569.19 ,$344.93 ,($191.20),0.00%,21%
Pirelli & C. SpA (BIT:PC),BIT:PC,Rubber& Tires,Italy,Developed Europe,EU & Environs,0.9313,1.1792,#REF!,#REF!,3.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$8,409.00 ",$0.00 ,"$3,411.40 ","$3,411.40 ","$11,820.40 ",$370.30 ,"$11,450.10 ",3.13%,0,51.16%,28.86%,104.74%,40.57%,$17.38 ,2.21,42.31%,58.62%,0.29,4.41,16.2,17.52,13.79,1.59,2.58,1.03,10.61,8.72,1.82,1.41,45.07%,2.57%,NA,NA,9.96%,6.79%,10.20%,4.14%,16.40%,17.65%,5.66%,12.72%,34.39%,38.15%,$519.20 ,$479.90 ,$959.30 ,"$1,079.40 ","$8,135.90 ","$8,486.00 ","$1,312.40 ","$1,345.20 ",$708.19 ,$88.20 ,($82.24),$213.40 ,18.52%,$577.03 ,$260.54 ,$348.74 ,"$2,926.40 ","$6,114.50 ","$3,257.00 ","$6,298.10 ",($216.30),0.99,1.33,0.5,0.04,0.15,$521.89 ,$5.99 ,($223.73),2.85%,21%
RTL Group SA (BDL:006146252),BDL:006146252,Broadcasting,Luxembourg,Developed Europe,EU & Environs,1.0846,1.1507,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,"$19,891.40 ",$511.13 ,"$1,126.10 ","$1,637.23 ","$21,528.63 ",$510.30 ,"$21,018.33 ",2.37%,NA,26.75%,7.60%,36.52%,8.23%,$129.49 ,0.28,NA,NA,0.27,67.8,25.27,19.52,19.44,5.47,4.44,2.52,14.09,13.95,10.83,2.66,122.90%,6.30%,NA,13.30%,NA,0.72%,4.62%,1.22%,19.70%,83.55%,12.69%,18.57%,25.91%,7.62%,$787.10 ,"$1,019.20 ","$1,471.20 ","$1,491.57 ","$7,908.20 ","$8,032.80 ","$1,507.00 ","$1,602.50 ","$1,105.11 ","($1,069.20)",$0.00 ,($448.00),-40.54%,"$1,553.11 ","$2,536.40 ","$1,467.20 ","$5,173.40 ","$1,785.23 ","$4,482.60 ","$1,941.63 ","($1,252.60)",-0.03,0.48,0.5,0.03,0.06,"$1,089.75 ",$622.12 ,"($1,252.60)",0.00%,21%
Pearson plc (LSE:PSON),LSE:PSON,Publshing & Newspapers,United Kingdom,Developed Europe,UK,0.7712,0.9515,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$17,958.60 ","$2,178.36 ","$4,121.90 ","$6,300.26 ","$24,258.86 ",$905.80 ,"$23,353.06 ",3.73%,0,41.80%,25.97%,71.82%,35.08%,$22.21 ,1.03,46.90%,31.55%,0.12,7.57,33.89,41.9,16.57,5.13,2.05,2.18,31.09,15.6,3.77,2.84,128.72%,3.07%,-16.80%,-2.86%,-1.09%,3.08%,6.61%,-4.57%,4.73%,14.14%,5.47%,9.58%,33.34%,82.57%,$529.90 ,$428.60 ,$908.90 ,$751.13 ,"$8,222.70 ","$7,842.50 ","$1,497.00 ","$1,337.50 ",$500.71 ,($445.30),($12.10),"$1,255.40 ",248.31%,($742.59),($369.40),($814.70),"$9,064.40 ","$5,310.66 ","$8,772.70 ","$6,196.96 ",($551.70),0.59,0.35,0.5,0.02,0.06,$897.74 ,$861.87 ,($621.60),0.60%,30%
Accor S.A. (ENXTPA:AC),ENXTPA:AC,Hotel/Gaming,France,Developed Europe,EU & Environs,0.7409,1.0235,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$10,740.10 ","$4,917.43 ","$3,278.50 ","$8,195.93 ","$18,936.03 ","$2,458.20 ","$16,477.83 ",12.98%,0,69.75%,43.28%,230.61%,76.31%,$47.24 ,1.92,55.77%,45.28%,0.17,5.39,NA,NA,23.86,NA,3.02,1.44,17.93,14.67,1.98,2.21,NA,3.40%,NA,NA,-8.01%,-6.48%,17.70%,-2.05%,-1.21%,10.52%,-0.59%,12.56%,50.00%,40.55%,($789.80),($42.90),$665.60 ,$918.81 ,"$7,448.10 ","$7,313.60 ","$1,123.30 ","$1,093.30 ",$459.41 ,($984.10),$78.00 ,"($1,112.80)",-225.25%,"$1,494.21 ","$1,976.00 ",$991.90 ,"$3,540.60 ","$8,734.43 ","$3,554.10 ","$8,311.63 ",($365.30),1.01,0.85,0.5,0.03,0.16,$883.09 ,$747.28 ,($365.30),0.60%,21%
S.A. D'Ieteren N.V. (ENXTBR:DIE),ENXTBR:DIE,Retail (Distributors),Belgium,Developed Europe,EU & Environs,0.5693,0.835,#REF!,#REF!,2.10%,#REF!,#REF!,#REF!,#REF!,#REF!,"$2,739.50 ",$606.88 ,"$1,023.10 ","$1,629.98 ","$4,369.48 ",$171.70 ,"$4,197.78 ",3.93%,0,42.45%,37.30%,73.77%,59.50%,$49.85 ,1.39,36.19%,51.11%,0.14,5.19,10.81,13.79,13.02,NA,1.24,0.38,10.57,8.8,1.82,0.58,28.80%,2.09%,-10.70%,0.65%,-3.30%,-1.92%,NA,2.08%,9.77%,17.10%,2.79%,5.57%,21.58%,23.76%,$253.50 ,$198.60 ,$313.40 ,$397.02 ,"$7,270.70 ","$7,122.80 ",$477.20 ,$457.50 ,$311.34 ,$366.40 ,$0.00 ,$130.50 ,41.92%,$180.84 ,($298.30),$68.10 ,"$2,033.50 ","$2,321.28 ","$2,209.40 ","$2,309.88 ",($57.20),0.74,0.61,0.5,0.03,0.07,$391.40 ,$169.61 ,($62.40),0.90%,21%
Burelle SA (ENXTPA:BUR),ENXTPA:BUR,Auto Parts,France,Developed Europe,EU & Environs,1.1136,2.1115,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$1,368.10 ",$192.05 ,"$1,423.90 ","$1,615.95 ","$2,984.05 ",$806.80 ,"$2,177.25 ",27.04%,NA,57.56%,54.15%,135.62%,118.12%,$779.45 ,1.76,30.82%,56.86%,0.55,8.03,9.57,9.68,NA,NA,1.15,0.22,5.66,3.66,1.35,0.34,7.50%,0.77%,28.60%,79.90%,21.20%,11.50%,NA,NA,22.43%,32.63%,2.18%,5.94%,24.13%,1.94%,$142.90 ,$141.30 ,$423.30 ,$384.89 ,"$6,339.50 ","$6,481.30 ",$594.10 ,$611.70 ,$292.03 ,($353.60),($53.97),$365.10 ,106.54%,($19.11),$183.77 ,($169.83),$630.10 ,"$1,179.65 ","$1,191.50 ","$1,617.15 ",($10.60),0.7,1.25,0.5,0.06,0.1,$185.00 ,$49.55 ,($10.60),0.60%,21%
Compagnie Plastic Omnium SA (ENXTPA:POM),ENXTPA:POM,Auto Parts,France,Developed Europe,EU & Environs,1.1136,1.442,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,097.10 ",$192.05 ,"$1,418.00 ","$1,610.05 ","$5,707.15 ",$792.20 ,"$4,914.95 ",13.88%,0,59.27%,28.21%,145.52%,39.30%,$27.96 ,2.73,56.48%,63.30%,0.5,10.65,17.92,18.01,13,0.9,3.7,0.65,12.41,8.14,3.3,0.78,21.27%,1.18%,25.80%,52.20%,21.30%,11.50%,19.90%,3.24%,24.76%,28.32%,3.51%,6.12%,24.95%,14.04%,$228.60 ,$227.50 ,$434.60 ,$396.19 ,"$6,336.80 ","$6,478.60 ",$604.10 ,$622.90 ,$297.32 ,($359.00),($53.57),$364.70 ,104.64%,($13.81),$275.37 ,($83.63),$919.00 ,"$1,398.75 ","$1,106.40 ","$1,487.95 ",($48.40),1.43,1.23,0.5,0.07,0.09,$180.83 ,$88.32 ,($50.43),0.60%,21%
